bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,latitude,longitude,distance,city,dist,type
2,2,1,79,整租·金陵村100号 2室2厅 南,金陵村100号,金陵小区,2室2厅1卫,2800,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2298991679673745408.html,元/月,32.110394,118.765081,,南京,鼓楼,整租
4,1,1,15,合租·文华园 4居室 东卧,文华园,卫岗,4室1厅1卫,1650,公寓 近地铁 精装 新上 随时看房,东,https://m.lianjia.com/chuzu/nj/zufang/NJ2322963904420126720.html,元/月,32.046159,118.846854,273.0,南京,秦淮,合租
3,1,1,100,整租·阳光雅居 3室1厅 南/北,阳光雅居,万寿,3室1厅1卫,2700,随时看房,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2315111970216345600.html,元/月,32.123611,118.839853,,南京,栖霞,整租
3,1,1,97,整租·天宝新寓 3室1厅 南/北,天宝新寓,东山镇,3室1厅1卫,3000,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2252052548603355136.html,元/月,31.95205,118.863802,,南京,江宁,整租
4,2,2,137,整租·银亿东城第十二街区 4室2厅 南,银亿东城第十二街区,麒麟镇,4室2厅2卫,3200,双卫生间 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2260625172606763008.html,元/月,32.070741,118.948491,,南京,江宁,整租
1,1,1,53,整租·升龙汇金中心 1室1厅 东,升龙汇金中心,奥体,1室1厅1卫,3300,近地铁,东,https://m.lianjia.com/chuzu/nj/zufang/NJ2313479281499979776.html,元/月,31.987706,118.716582,964.0,南京,建业,整租
2,1,1,60,整租·解放路36号 2室1厅 南/北,解放路36号,瑞金路,2室1厅1卫,3500,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2306515107641311232.html,元/月,32.042435640939,118.81637480597,730.0,南京,秦淮,整租
4,0,1,22,合租·明发滨江新城三期 4居室 南卧,明发滨江新城三期,桥北,4室0厅1卫,950,公寓 近地铁 独立阳台 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2312802351368912896.html,元/月,32.140563904923,118.75514699496,838.0,南京,浦口,合租
3,1,1,90,整租·锁石苑 3室1厅 南,锁石苑,麒麟镇,3室1厅1卫,1500,新上,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2323198272505913344.html,元/月,32.048273911661,118.9333418864,,南京,栖霞,整租
1,0,0,20,整租·仙鹤茗苑 1室0厅 南,仙鹤茗苑,仙鹤门,1室0厅0卫,1200,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2318571501722271744.html,元/月,32.095083652415,118.9087866767,445.0,南京,玄武,整租
2,2,1,88,整租·复地御钟山一期 2室2厅 南/北,复地御钟山一期,马群,2室2厅1卫,4000,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2249012530443984896.html,元/月,32.060916,118.897602,334.0,南京,玄武,整租
4,1,1,18,合租·文思新村 4居室 南卧,文思新村,建康路,4室1厅1卫,2190,近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2294067134436737024.html,元/月,32.0322232966,118.80347400282,739.0,南京,秦淮,合租
3,2,1,120,整租·君悦湖滨 3室2厅 南/北,君悦湖滨,宁南,3室2厅1卫,5300,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2311430916561436672.html,元/月,31.990773,118.797329,983.0,南京,雨花台,整租
4,1,1,22,合租·营苑西村 4居室 南卧,营苑西村,迈皋桥,4室1厅1卫,2190,精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2297042798836457472.html,元/月,32.109571601751,118.83377233323,,南京,玄武,合租
3,2,1,139,整租·奥体新城海棠园 3室2厅 南/北,奥体新城海棠园,奥体,3室2厅1卫,5300,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2315284886103269376.html,元/月,32.022972,118.731116,155.0,南京,建业,整租
3,1,1,88,整租·燕江新城山水苑 3室1厅 南/北,燕江新城山水苑,万寿,3室1厅1卫,2600,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2297099527720534016.html,元/月,32.136078,118.84877,,南京,栖霞,整租
1,1,1,36,整租·锦绣江山花园 1室1厅 南,锦绣江山花园,建宁路,1室1厅1卫,2590,公寓 精装 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2316668971870322688.html,元/月,32.113865,118.755519,,南京,鼓楼,整租
6,0,6,140,整租·金盛田铂宫 6室0厅 西南,金盛田铂宫,江浦街道,6室0厅6卫,7800,近地铁,西南,https://m.lianjia.com/chuzu/nj/zufang/NJ2297059426231648256.html,元/月,32.072224,118.642108,213.0,南京,浦口,整租
2,1,1,74,整租·台园 2室1厅 东南/西北,台园,南苑,2室1厅1卫,3600,,东南 西北,https://m.lianjia.com/chuzu/nj/zufang/NJ2307097831866892288.html,元/月,32.027452,118.765604,,南京,建业,整租
5,1,1,37,合租·莲花嘉园 5居室 南卧,莲花嘉园,奥体,5室1厅1卫,1400,公寓 近地铁 独立阳台 新上 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2325060392520253440.html,元/月,31.971236064346,118.72127083853,622.0,南京,建业,合租
3,1,1,94,整租·翠屏城 3室1厅 南,翠屏城,禄口,3室1厅1卫,600,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2225896899067002880.html,元/月,31.802034,118.866669,,南京,江宁,整租
1,1,1,30,整租·居安里 1室1厅 南,居安里,丹凤街,1室1厅1卫,3200,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2261415048331673600.html,元/月,32.057608182948,118.7951645975,389.0,南京,玄武,整租
1,0,1,15,整租·武夷绿洲观竹苑 1室0厅 东,武夷绿洲观竹苑,科学园,1室0厅1卫,1300,近地铁 随时看房,东,https://m.lianjia.com/chuzu/nj/zufang/NJ2313535707169701888.html,元/月,31.934915,118.850241,252.0,南京,江宁,整租
4,1,1,18,合租·迎江雅居 4居室 南卧,迎江雅居,桥北,4室1厅1卫,780,月租 精装 独立阳台 押一付一 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2293520828782092288.html,元/月,32.129157,118.736379,,南京,浦口,合租
2,2,1,88,整租·金基月亮湾 2室2厅 南/北,金基月亮湾,大光路,2室2厅1卫,5500,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2312749783166484480.html,元/月,32.03035146036,118.8275930144,,南京,秦淮,整租
5,1,1,10,合租·桥北新村 5居室 跃层 西南卧,桥北新村,桥北,5室1厅1卫,650,公寓 精装 随时看房,西南,https://m.lianjia.com/chuzu/nj/zufang/NJ2292716195281117184.html,元/月,32.137863195581,118.74151879569,,南京,浦口,合租
3,2,2,157,整租·三山花园 3室2厅 南,三山花园,夫子庙,3室2厅2卫,7200,近地铁 双卫生间,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2318714908860497920.html,元/月,32.028432119703,118.79003711953,134.0,南京,秦淮,整租
3,2,1,108,整租·星叶枫情水岸 3室2厅 南,星叶枫情水岸,仙林,3室2厅1卫,3800,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2314406878043439104.html,元/月,32.134823,118.981566,,南京,栖霞,整租
3,1,1,90,整租·上铁月桂园 3室1厅 南/北,上铁月桂园,尧化门,3室1厅1卫,1900,新上,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2320115602586607616.html,元/月,32.12395,118.874816,,南京,栖霞,整租
5,1,2,20,合租·西水湾家园1至22幢 5居室 复式 南卧,西水湾家园1至22幢,江浦街道,5室1厅2卫,799,公寓 月租 近地铁 精装 押一付一,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2315184413513883648.html,元/月,32.049705,118.626931,573.0,南京,浦口,合租
1,1,1,32,整租·锁金村82号 1室1厅 南,锁金村82号,锁金村,1室1厅1卫,2000,月租 近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2218557447961059328.html,元/月,32.078654,118.822645,910.0,南京,玄武,整租
3,2,2,105,整租·正荣润锦城 3室2厅 南,正荣润锦城,江浦街道,3室2厅2卫,3300,双卫生间,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2311421519710404608.html,元/月,32.07706,118.678995,,南京,浦口,整租
2,1,1,54,整租·兆园 2室1厅 南,兆园,茶南,2室1厅1卫,3300,近地铁 新上,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2320965550668791808.html,元/月,32.036717,118.75599,461.0,南京,建业,整租
3,2,2,97,整租·万科大都会 3室2厅 南/北,万科大都会,岔路口,3室2厅2卫,6000,双卫生间,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2239120243622682624.html,元/月,31.975617,118.817136,998.0,南京,雨花台,整租
3,1,1,22,合租·西柏果园58号 3居室 南卧,西柏果园58号,三牌楼,3室1厅1卫,1350,公寓 精装 独立阳台 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2320297024076906496.html,元/月,32.087151179338,118.7721772279,,南京,鼓楼,合租
3,1,1,118,整租·瀛洲湾 3室1厅 南,瀛洲湾,岔路口,3室1厅1卫,3800,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2289575224955371520.html,元/月,31.978995227128,118.8360142944,,南京,雨花台,整租
3,1,1,71,整租·联珠村小区 3室1厅 南,联珠村小区,燕子矶,3室1厅1卫,2200,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2291775912628191232.html,元/月,32.136904,118.824466,,南京,栖霞,整租
2,1,1,15,合租·燕康园 2居室 北卧,燕康园,金陵小区,2室1厅1卫,1000,公寓 近地铁 精装 押一付一 随时看房,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2316473030857474048.html,元/月,32.115542,118.772158,1009.0,南京,鼓楼,合租
2,1,1,7,合租·天堂街 2居室 西卧,天堂街,新街口,2室1厅1卫,1890,公寓 近地铁 精装 押一付一 随时看房,西,https://m.lianjia.com/chuzu/nj/zufang/NJ2314647152338403328.html,元/月,32.044515,118.785336,348.0,南京,秦淮,合租
2,1,1,52,整租·康桥圣菲 2室1厅 南,康桥圣菲,仙林,2室1厅1卫,3500,近地铁 新上,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2323654061213630464.html,元/月,32.10062365761,118.9203329786,473.0,南京,栖霞,整租
2,1,1,85,整租·月苑五村 2室1厅 南/北,月苑五村,月苑,2室1厅1卫,3000,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2293192365051494400.html,元/月,32.103045294005,118.83766001411,,南京,玄武,整租
3,2,1,98,整租·空港公寓 3室2厅 南,空港公寓,禄口,3室2厅1卫,1400,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2267840267355176960.html,元/月,31.797473246468,118.81754677141,,南京,江宁,整租
1,1,1,57,整租·凯润金城 1室1厅 南,凯润金城,长江路,1室1厅1卫,4900,近地铁 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2306475004717973504.html,元/月,32.05385112823,118.7919390318,375.0,南京,玄武,整租
4,1,1,18,合租·天景山公寓荣华苑 4居室 南卧,天景山公寓荣华苑,东山镇,4室1厅1卫,1100,公寓 月租 近地铁 精装 独立阳台 随时看房,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2310031768327299072.html,元/月,31.950241910871,118.88168115631,636.0,南京,江宁,合租
